date,y,u,i,wf
2008q1,6.748548486,0.422323561,"1,550,900",
2008q2,6.793393773,0.415976485,"2,222,563",
2008q3,6.851143644,0.409887018,"2,357,951",
2008q4,6.81969073,0.412584928,"1,956,943",
2009q1,6.753995467,0.405277988,"1,335,448",
2009q2,6.78987176,0.41147099,"1,572,304",
2009q3,6.827066402,0.416583434,"1,569,873",
2009q4,6.795441185,0.427161669,"1,386,852",
2010q1,6.759771395,0.426301473,"948,060",
2010q2,6.801875949,0.426348018,"1,383,427",
2010q3,6.829445749,0.427209248,"1,316,522",
2010q4,6.814546457,0.425228207,"1,351,109",
2011q1,6.781878858,0.429825984,"1,242,162",
2011q2,6.812707657,0.434749891,"1,522,828",
2011q3,6.849651788,0.435126513,"1,238,959",
2011q4,6.820124967,0.435878497,"1,819,362",
2012q1,6.764301194,0.438942719,"1,000,736",
2012q2,6.809249646,0.440873404,"1,460,171",
2012q3,6.858626118,0.44258798,"1,591,871",
2012q4,6.828927952,0.44431746,"1,830,657",
2013q1,6.786077806,0.443710675,"1,635,133",
2013q2,6.820915732,0.444806381,"1,246,113",
2013q3,6.861827465,0.445586864,"1,241,475",
2013q4,6.830745972,0.44432526,"1,563,368",
2014q1,6.802403991,0.442157592,"1,538,214",
2014q2,6.821995102,0.440321351,"1,554,835",
2014q3,6.862913124,0.438865238,"1,279,317",
2014q4,6.850256625,0.436013682,"1,790,421",
2015q1,6.819059309,0.43521764,"1,476,614",
2015q2,6.853485592,0.433599392,"1,609,922",
2015q3,6.890036913,0.430383808,"1,370,253",
2015q4,6.871378024,0.427899478,"1,817,779",
2016q1,6.834417488,0.424685092,"1,596,950",
2016q2,6.867479327,0.420510731,"1,718,558",
2016q3,6.913574644,0.414722017,"1,566,058",
2016q4,6.895945504,0.412167453,"1,993,143",
2017q1,6.855915921,0.394641624,"1,690,496",
2017q2,6.888492221,0.388027104,"2,050,128",
2017q3,6.935685827,0.380330098,"1,872,111",
2017q4,6.917351098,0.374649457,"2,221,739",
2018q1,6.887340402,0.370284768,"1,935,451",
2018q2,6.922693802,0.363486504,"2,060,432",
2018q3,6.956838401,0.35625736,"2,119,064",
2018q4,6.944648025,0.350552622,"2,170,279",
2019q1,6.910461855,0.343121132,"2,130,531",
2019q2,6.947232612,0.334292903,"2,345,433",
2019q3,6.980721033,0.329053641,"2,203,084",
2019q4,6.965024425,0.328258201,"2,211,274",
2020q1,6.925907142,0.326342125,"1,965,612",
2020q2,6.910017024,0.345592237,"1,817,333",
2020q3,6.959892269,0.343460501,"2,499,273",
2020q4,6.956623929,0.337273727,"1,748,250",
2021q1,6.950012675,0.334286606,"1,106,381",1377
2021q2,6.976247932,0.328030902,"2,993,230",1387
2021q3,7.014440309,0.320260207,"3,417,600",1402
2021q4,7.018147054,0.314188522,"2,692,765",1406
2022q1,7.0048073,0.308886558,"1,354,962",1393
2022q2,7.052023305,0.303163938,"3,883,037",1388
2022q3,7.076230177,0.29862546,"3,903,808",1368
2022q4,7.090445563,0.297099605,"3,368,252",1366
2023q1,7.067746775,0.294207579,"1,766,337",1370
2023q2,7.092580746,0.292776726,"4,029,632",1373
2023q3,7.111956398,0.290920674,"4,415,808",1355
2023q4,7.111105659,0.287204159,"2,929,317",1364
2024q1,7.085381426,0.282509958,"2,696,981",1391
2024q2,7.104648329,0.27905255,"4,517,680",1398
2024q3,7.120276945,0.2706091,"5,141,022",1377
2024q4,7.118735931,0.2620512,"3,407,612",1393
2025q1,7.093174495,0.253892,"4,274,317",1410
