date,rgdp
2000q1,2470140.28
2000q2,2834662.259
2000q3,3309377.147
2000q4,3205422.401
2001q1,2603265.405
2001q2,3016210.498
2001q3,3562233.415
2001q4,3496463.904
2002q1,2884939.846
2002q2,3352139.681
2002q3,3915153.345
2002q4,3830153.918
2003q1,3065319.774
2003q2,3519018.459
2003q3,4101821.624
2003q4,4041846.186
2004q1,3243918.661
2004q2,3771524.832
2004q3,4486281.289
2004q4,4496422.717
2005q1,3596998.187
2005q2,4222507.614
2005q3,4965273.675
2005q4,4865557.423
2006q1,4208858.528
2006q2,4820901.441
2006q3,5583093.293
2006q4,5444361.822
2007q1,4837318.644
2007q2,5421319.754
2007q3,6257519.505
2007q4,6031700.128
2008q1,5604649.864
2008q2,6214322.283
2008q3,7098125.021
2008q4,6602231.216
2009q1,5675386.814
2009q2,6164129.591
2009q3,6715315.204
2009q4,6243687.883
2010q1,5751371.159
2010q2,6336886.793
2010q3,6752207.012
2010q4,6524488.299
2011q1,6051720.444
2011q2,6496922.058
2011q3,7073783.897
2011q4,6608835.88
2012q1,5811673.322
2012q2,6445396.609
2012q3,7221478.427
2012q4,6744161.351
2013q1,6110514.883
2013q2,6620880.233
2013q3,7274907.321
2013q4,6772452.575
2014q1,6344596.266
2014q2,6637355.848
2014q3,7293116.04
2014q4,7083642.338
2015q1,6592639.208
2015q2,7136505.288
2015q3,7763130.962
2015q4,7436661.68
2016q1,6829949.422
2016q2,7370200.906
2016q3,8195484.703
2016q4,7869470.354
2017q1,7176553.401
2017q2,7735568.223
2017q3,8623544.855
2017q4,8267060.167
2018q1,7715079.429
2018q2,8369389.924
2018q3,9053956.444
2018q4,8803351.145
2019q1,8136953.898
2019q2,8855898.136
2019q3,9565794.196
2019q4,9226233.14
2020q1,8431544.602
2020q2,8128623.796
2020q3,9117846.346
2020q4,9049486.353
2021q1,8912769.496
2021q2,9467775.072
2021q3,10338090
2021q4,10426704.21
2022q1,10111307.09
2022q2,11272579.45
2022q3,11918735.37
2022q4,12315316.08
2023q1,11688176.87
2023q2,12376012.7
2023q3,12940659.13
2023q4,12915334.52
2024q1,12172546.03
2024q2,12724722.76
2024q3,13190976.44
2024q4,13144253.66
2025q1,12392944.22
